Device Type,Device Family,Device Model,Recommended Software Version,Min. Supported Software Version ¹,Min. Cisco DNA Center Release,Cisco DNA Essentials license ²,Cisco DNA Advantage license,Inventory,Topology,SWIM,PnP,Cisco DNA Assurance,ENFV & Routing,Application Policy,Patching (SMU),IWAN,Cisco SD-Access³,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4TS-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8T67-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8T67P-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-G-N,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-8TC-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000U-16TC-G,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
